AREA,PERIMETER,ZI_CITY_,ZI_CITY_ID,PPPTTYPE,PPPTTYPETX,PPPTNAME,PPPTFLAG,LONG,LAT,Status,towns
0.000000,0.000000,"211","211","1",Populated places (no subcategories),Mukani,"1",32.285600,-18.542610,,
0.000000,0.000000,"213","213","1",Populated places (no subcategories),Dover,"1",30.870070,-18.590960,,
0.000000,0.000000,"215","215","1",Populated places (no subcategories),Watsomba,"1",32.628090,-18.678190,,
0.000000,0.000000,"218","218","1",Populated places (no subcategories),Riversdale,"1",30.951610,-18.697170,,
0.000000,0.000000,"219","219","1",Populated places (no subcategories),Inyazura,"1",32.151030,-18.703460,,
0.000000,0.000000,"220","220","1",Populated places (no subcategories),Featherstone,"1",30.833800,-18.718830,,
0.000000,0.000000,"221","221","1",Populated places (no subcategories),Rundu,"1",31.475660,-18.741350,,
0.000000,0.000000,"223","223","1",Populated places (no subcategories),Tsungwesi,"1",32.193370,-18.839710,,
0.000000,0.000000,"227","227","1",Populated places (no subcategories),Penhalonga,"1",32.675840,-18.888150,Semi Major,TOWN
0.000000,0.000000,"229","229","1",Populated places (no subcategories),Sable Flat,"1",30.568970,-18.928290,,
0.000000,0.000000,"230","230","1",Populated places (no subcategories),Irene,"1",32.580730,-18.935170,,
0.000000,0.000000,"233","233","2",Populated places associated with city polygons,Mutare,"1",32.655560,-18.974760,Major,TOWN
0.000000,0.000000,"234","234","1",Populated places (no subcategories),Bushy Park,"1",30.389800,-19.018240,,
0.000000,0.000000,"235","235","1",Populated places (no subcategories),Chivhu,"1",30.896880,-19.024610,Semi Major,TOWN
0.000000,0.000000,"239","239","1",Populated places (no subcategories),Gunde,"1",31.692190,-19.076660,,
0.000000,0.000000,"246","246","1",Populated places (no subcategories),Luck,"1",30.713240,-19.223740,,
0.000000,0.000000,"247","247","1",Populated places (no subcategories),Matanda,"1",32.400060,-19.258770,,
0.000000,0.000000,"248","248","1",Populated places (no subcategories),Mvuma,"1",30.532110,-19.287810,Semi Major,TOWN
0.000000,0.000000,"249","249","1",Populated places (no subcategories),Lalapanzi,"1",30.179740,-19.328100,,
0.000000,0.000000,"251","251","1",Populated places (no subcategories),Mutasa,"1",31.575670,-19.342930,,
0.000000,0.000000,"252","252","1",Populated places (no subcategories),Fairfield,"1",30.572090,-19.376390,,
0.000000,0.000000,"255","255","1",Populated places (no subcategories),Felixburg,"1",30.890940,-19.445350,,
0.000000,0.000000,"260","260","1",Populated places (no subcategories),Chitsa,"1",31.537400,-19.516190,,
0.000000,0.000000,"262","262","1",Populated places (no subcategories),Mutambara,"1",32.652490,-19.558000,,
0.000000,0.000000,"267","267","1",Populated places (no subcategories),Chatsworth,"1",30.836020,-19.631890,,
0.000000,0.000000,"269","269","1",Populated places (no subcategories),Gutu,"1",31.143510,-19.662890,,
0.000000,0.000000,"270","270","1",Populated places (no subcategories),Shurugwi,"1",30.003700,-19.664900,,
0.000000,0.000000,"271","271","1",Populated places (no subcategories),Baruru,"1",32.076810,-19.702480,,
0.000000,0.000000,"276","276","1",Populated places (no subcategories),Nyanyadzi,"1",32.419590,-19.765820,,
0.000000,0.000000,"277","277","1",Populated places (no subcategories),Chimanimani,"1",32.869710,-19.815080,Semi Major,TOWN
0.000000,0.000000,"280","280","1",Populated places (no subcategories),Matoba,"1",30.757920,-19.901090,,
0.000000,0.000000,"283","283","1",Populated places (no subcategories),Muvuti,"1",31.639780,-19.942200,,
0.000000,0.000000,"284","284","1",Populated places (no subcategories),Guavana Hillside,"1",32.886520,-19.946730,,
0.000000,0.000000,"287","287","1",Populated places (no subcategories),Birchenough Bridge,"1",32.320760,-19.960440,,
0.000000,0.000000,"291","291","1",Populated places (no subcategories),Kazangarare,"1",29.933090,-16.502600,,
0.000000,0.000000,"292","292","1",Populated places (no subcategories),Kariba,"1",28.800160,-16.529740,Semi Major,TOWN
0.000000,0.000000,"294","294","1",Populated places (no subcategories),Ardingly,"1",29.677210,-16.620400,,
0.000000,0.000000,"296","296","1",Populated places (no subcategories),Charles Clack,"1",29.422760,-16.839610,,
0.000000,0.000000,"297","297","1",Populated places (no subcategories),Madadzi,"1",29.751210,-16.900690,,
0.000000,0.000000,"299","299","1",Populated places (no subcategories),Chitongo,"1",29.633790,-17.055170,,
