Date,Indicator,Province,District,Ward,individualsreached,individualstargeted
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,9,3180,5000
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,11,983,983
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,12,909,909
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,13,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,14,1167,1167
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,15,3325,3325
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,16,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,17,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,18,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,19,1571,1571
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,20,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,21,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Chipinge,25,865,3463
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Mutare,22,446,2082
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Mutasa,11,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Manicaland,Mutasa,19,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Bikita,26,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Chiredzi,24,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Gutu,,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Gutu,11,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Masvingo,,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,2,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,3,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,5,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,6,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,7,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,14,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,15,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,17,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,20,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,21,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,22,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,24,0,0
12/5/2019,"# of people receiving Hygiene kits (family kit, female dignity kit)",Masvingo,Zaka,27,0,0
